State,Latitude,Longitude,Rainfall,Soil_Moisture,Slope,Elevation,Temperature,Risk
Sikkim,27.993023,88.688075,156.9,0.413,55.4,2262.1,17.3,Moderate
Meghalaya,25.688235,92.668141,164.0,0.384,35.1,1565.5,19.2,Moderate
Mizoram,22.421234,92.342043,123.8,0.474,42.4,2079.7,14.2,Moderate
Sikkim,28.024754,88.395235,64.3,0.165,34.3,1344.1,22.2,Low
Manipur,25.409241,94.607562,105.2,0.301,45.7,1625.2,20.4,Moderate
Tripura,22.999932,92.148504,103.6,0.333,51.4,1583.4,17.7,Moderate
Mizoram,23.06563,92.863562,294.9,0.678,65.8,2596.6,11.6,High
Mizoram,23.529141,93.404297,38.0,0.272,13.2,803.0,22.6,Low
Sikkim,27.022939,88.429159,105.1,0.15,47.4,2608.6,15.1,Moderate
Assam,26.888433,94.253054,11.5,0.222,43.1,1511.3,20.2,Low
Manipur,25.115812,93.241983,160.9,0.231,35.0,1007.9,21.0,Moderate
Sikkim,27.359275,88.322844,144.2,0.524,33.1,1068.4,20.2,Moderate
Manipur,25.328431,93.501768,28.1,0.11,26.9,1402.9,21.0,Low
Manipur,24.200339,94.723406,166.7,0.422,22.6,1510.6,18.3,Moderate
Tripura,22.914181,92.297167,31.0,0.217,2.5,50.0,30.5,Low
Mizoram,23.659735,93.27701,33.2,0.199,35.6,1968.5,20.2,Low
Meghalaya,25.353543,89.842946,62.7,0.081,52.7,2015.5,17.8,Moderate
Tripura,24.080591,92.084388,154.5,0.361,35.6,1672.3,18.9,Moderate
Tripura,24.084762,91.185705,57.9,0.133,3.2,50.0,32.6,Low
Manipur,25.231513,94.384061,127.6,0.308,41.4,1523.0,22.6,Moderate
Nagaland,26.451227,94.832232,104.5,0.338,35.4,1895.2,18.2,Moderate
Mizoram,24.099396,92.997685,10.3,0.207,22.3,834.4,20.2,Low
Assam,24.37214,92.772055,53.9,0.26,16.5,1112.5,24.2,Low
Tripura,23.024239,91.529806,210.2,0.29,46.0,1981.9,20.9,Moderate
Meghalaya,25.488528,89.99803,278.4,0.626,24.0,1443.6,21.3,Moderate
Nagaland,25.862759,93.521996,305.2,0.614,39.1,1592.8,18.9,Moderate
Nagaland,26.735647,95.195376,86.3,0.289,75.0,2107.8,20.5,Moderate
Assam,24.303729,95.717226,178.5,0.443,35.9,1479.0,21.3,Low
Tripura,23.736123,91.389435,66.3,0.196,20.5,1317.9,20.0,Low
Meghalaya,25.092234,91.301873,61.8,0.265,58.4,2426.0,17.7,Moderate
Mizoram,23.96574,93.119212,244.7,0.511,58.8,2139.3,19.0,High
Arunachal Pradesh,26.650678,91.90096,68.1,0.199,21.8,1583.7,18.0,Low
Meghalaya,25.483448,90.685871,79.0,0.167,36.8,2096.6,19.2,Low
Assam,24.976014,91.470328,124.1,0.225,20.5,1127.4,22.8,Moderate
Nagaland,26.726617,95.158456,95.6,0.252,44.6,1874.8,23.6,Low
Mizoram,22.953267,93.377944,64.0,0.259,40.8,1739.5,22.1,Moderate
Meghalaya,25.385795,91.229311,17.4,0.05,48.8,1681.0,14.4,Moderate
Arunachal Pradesh,27.178087,95.022618,125.5,0.425,28.1,1002.5,26.2,Moderate
Arunachal Pradesh,29.436943,94.819212,91.4,0.361,21.8,1104.0,24.8,Moderate
Manipur,24.479847,94.166071,66.6,0.235,2.0,50.0,29.1,Low
Manipur,24.033549,94.599586,225.3,0.383,57.8,3073.8,15.4,High
Sikkim,27.603701,88.404415,37.0,0.292,36.3,1967.9,20.3,Low
Assam,26.460632,93.636138,204.4,0.432,22.0,1062.8,24.6,Moderate
Tripura,23.014841,91.887402,97.2,0.462,43.6,1023.1,26.3,Moderate
Meghalaya,25.290318,91.941858,294.8,0.645,8.6,715.5,26.1,Moderate
Meghalaya,25.987042,92.211876,19.9,0.126,38.8,1638.1,19.4,Low
Tripura,23.784002,91.676221,32.5,0.203,29.1,923.0,27.6,Low
Sikkim,27.171451,88.697812,241.5,0.321,53.0,1839.0,21.8,Moderate
